,min
202108,27.14500000000004
202106,26.206000000000017
202104,25.466000000000008
202102,25.94300000000004
202109,27.956000000000017
202107,26.483000000000004
202111,27.58200000000005
202110,27.883000000000038
202112,26.86500000000001
202105,26.235000000000014
202103,25.767999999999972
202101,25.857000000000028
202008,27.338000000000022
202006,26.519000000000005
202004,26.42100000000005
202002,25.920000000000016
202009,28.57000000000005
202007,26.910000000000025
202011,27.730999999999995
202010,28.471000000000004
202012,26.96700000000004
202005,25.617999999999995
202003,26.51600000000002
202001,26.17500000000001
202208,26.849000000000046
202206,26.53200000000004
202204,25.871000000000038
202202,26.185000000000002
202209,28.42500000000001
202207,26.27000000000004
202211,27.528999999999996
202210,27.982000000000028
202212,26.081000000000017
202205,26.16300000000001
202203,25.994000000000028
202201,25.92700000000002
